top_k,reagent_type,accuracy
1,coarse_solvent,0.5076628352490421
2,coarse_solvent,0.6886973180076629
3,coarse_solvent,0.7940613026819924
4,coarse_solvent,0.8936781609195402
5,coarse_solvent,0.9683908045977011
6,coarse_solvent,0.9770114942528736
7,coarse_solvent,0.9770114942528736
8,coarse_solvent,0.9770114942528736
9,coarse_solvent,0.9770114942528736
10,coarse_solvent,0.9770114942528736
1,base,0.7691570881226054
2,base,0.8994252873563219
3,base,0.9530651340996169
4,base,0.9712643678160919
5,base,0.9712643678160919
6,base,0.9712643678160919
7,base,0.9712643678160919
8,base,0.9712643678160919
9,base,0.9712643678160919
10,base,0.9712643678160919
