top_k,reagent_type,accuracy
1,coarse_solvent,0.5095785440613027
2,coarse_solvent,0.6609195402298851
3,coarse_solvent,0.764367816091954
4,coarse_solvent,0.8237547892720306
5,coarse_solvent,0.8812260536398467
6,coarse_solvent,0.9185823754789272
7,coarse_solvent,0.9482758620689655
8,coarse_solvent,0.9693486590038314
9,coarse_solvent,0.9818007662835249
10,coarse_solvent,0.9865900383141762
1,base,0.75
2,base,0.8812260536398467
3,base,0.9118773946360154
4,base,0.9272030651340997
5,base,0.9377394636015326
6,base,0.9482758620689655
7,base,0.9540229885057471
8,base,0.960727969348659
9,base,0.9626436781609196
10,base,0.9655172413793104
1,overall,0.4482758620689655
2,overall,0.5670498084291188
3,overall,0.6561302681992337
4,overall,0.7049808429118773
5,overall,0.7538314176245211
6,overall,0.7959770114942529
7,overall,0.8352490421455939
8,overall,0.8639846743295019
9,overall,0.8812260536398467
10,overall,0.8946360153256705
