reagent_type,top_k,accuracy
overall,1,0.2959770114942529
overall,2,0.5191570881226054
overall,3,0.6293103448275862
overall,4,0.7231800766283525
overall,5,0.8055555555555556
overall,6,0.8419540229885057
overall,7,0.8764367816091954
overall,8,0.8946360153256705
overall,9,0.9042145593869731
overall,10,0.9147509578544061
coarse_solvent,1,0.38984674329501917
coarse_solvent,2,0.6350574712643678
coarse_solvent,3,0.7691570881226054
coarse_solvent,4,0.8917624521072797
coarse_solvent,5,0.9837164750957854
coarse_solvent,6,0.9837164750957854
coarse_solvent,7,0.9837164750957854
coarse_solvent,8,0.9837164750957854
coarse_solvent,9,0.9837164750957854
coarse_solvent,10,1.0
base,1,0.8160919540229885
base,2,0.8160919540229885
base,3,0.8160919540229885
base,4,0.8160919540229885
base,5,0.8160919540229885
base,6,0.8946360153256705
base,7,0.9473180076628352
base,8,0.9798850574712644
base,9,0.9798850574712644
base,10,0.9798850574712644
