reagent_type,top_k,accuracy
overall,1,0.4084372003835091
overall,2,0.573346116970278
overall,3,0.713326941514861
overall,4,0.7938638542665388
overall,5,0.837967401725791
overall,6,0.8667305848513902
overall,7,0.8887823585810163
overall,8,0.9022051773729626
overall,9,0.9232981783317353
overall,10,0.9300095877277086
coarse_solvent,1,0.4563758389261745
coarse_solvent,2,0.6481303930968361
coarse_solvent,3,0.8130393096836049
coarse_solvent,4,0.8983700862895494
coarse_solvent,5,0.9395973154362416
coarse_solvent,6,0.9587727708533078
coarse_solvent,7,0.9683604985618408
coarse_solvent,8,0.9769894534995206
coarse_solvent,9,0.9827420901246404
coarse_solvent,10,0.9837008628954937
base,1,0.8485139022051774
base,2,0.8667305848513902
base,3,0.87535953978907
base,4,0.8964525407478428
base,5,0.9175455417066155
base,6,0.9367209971236817
base,7,0.9520613614573347
base,8,0.959731543624161
base,9,0.965484180249281
base,10,0.9712368168744008
