reagent_type,top_k,accuracy
coarse_solvent,1,0.5177372962607862
coarse_solvent,2,0.7066155321188878
coarse_solvent,3,0.8341323106423778
coarse_solvent,4,0.9146692233940557
coarse_solvent,5,0.9731543624161074
coarse_solvent,6,0.9952061361457335
coarse_solvent,7,0.99712368168744
coarse_solvent,8,0.9980824544582934
coarse_solvent,9,0.9990412272291467
coarse_solvent,10,0.9990412272291467
base,1,0.8312559923298178
base,2,0.8494726749760306
base,3,0.8590604026845637
base,4,0.8676893576222435
base,5,0.87823585810163
base,6,0.8964525407478428
base,7,0.9348034515819751
base,8,0.9635666347075743
base,9,0.9731543624161074
base,10,0.9798657718120806
overall,1,0.4333652924256951
overall,2,0.6049856184084372
overall,3,0.7142857142857143
overall,4,0.7861936720997124
overall,5,0.840843720038351
overall,6,0.87535953978907
overall,7,0.8974113135186961
overall,8,0.9194630872483222
overall,9,0.9309683604985618
overall,10,0.9395973154362416
