reagent_type,top_k,accuracy
overall,1,0.49137931034482757
overall,2,0.6637931034482759
overall,3,0.75
overall,4,0.8132183908045977
overall,5,0.8563218390804598
overall,6,0.8812260536398467
overall,7,0.9003831417624522
overall,8,0.9166666666666666
overall,9,0.9243295019157088
overall,10,0.9300766283524904
coarse_solvent,1,0.5373563218390804
coarse_solvent,2,0.7145593869731801
coarse_solvent,3,0.8323754789272031
coarse_solvent,4,0.9051724137931034
coarse_solvent,5,0.9482758620689655
coarse_solvent,6,0.9731800766283525
coarse_solvent,7,0.9846743295019157
coarse_solvent,8,0.9894636015325671
coarse_solvent,9,0.9923371647509579
coarse_solvent,10,0.9932950191570882
base,1,0.85727969348659
base,2,0.896551724137931
base,3,0.9022988505747126
base,4,0.9080459770114943
base,5,0.921455938697318
base,6,0.9415708812260536
base,7,0.9597701149425287
base,8,0.9703065134099617
base,9,0.9770114942528736
base,10,0.9818007662835249
