reagent_type,top_k,accuracy
coarse_solvent,1,0.49616858237547895
coarse_solvent,2,0.7145593869731801
coarse_solvent,3,0.8400383141762452
coarse_solvent,4,0.9319923371647509
coarse_solvent,5,0.9798850574712644
coarse_solvent,6,0.9885057471264368
coarse_solvent,7,0.9894636015325671
coarse_solvent,8,0.9942528735632183
coarse_solvent,9,0.9952107279693486
coarse_solvent,10,0.9952107279693486
base,1,0.8333333333333334
base,2,0.8496168582375478
base,3,0.8563218390804598
base,4,0.8659003831417624
base,5,0.8812260536398467
base,6,0.9224137931034483
base,7,0.9425287356321839
base,8,0.9597701149425287
base,9,0.9655172413793104
base,10,0.9693486590038314
overall,1,0.42049808429118773
overall,2,0.6149425287356322
overall,3,0.7279693486590039
overall,4,0.8026819923371648
overall,5,0.8467432950191571
overall,6,0.8745210727969349
overall,7,0.8946360153256705
overall,8,0.9128352490421456
overall,9,0.9262452107279694
overall,10,0.9348659003831418
