reagent_type,top_k,accuracy
overall,1,0.3055555555555556
overall,2,0.4703065134099617
overall,3,0.6101532567049809
overall,4,0.7126436781609196
overall,5,0.7825670498084292
overall,6,0.8122605363984674
overall,7,0.8314176245210728
overall,8,0.8505747126436781
overall,9,0.8716475095785441
overall,10,0.8879310344827587
coarse_solvent,1,0.3668582375478927
coarse_solvent,2,0.5488505747126436
coarse_solvent,3,0.7059386973180076
coarse_solvent,4,0.8227969348659003
coarse_solvent,5,0.8975095785440613
coarse_solvent,6,0.9224137931034483
coarse_solvent,7,0.9329501915708812
coarse_solvent,8,0.9454022988505747
coarse_solvent,9,0.9636015325670498
coarse_solvent,10,0.9703065134099617
base,1,0.8160919540229885
base,2,0.8419540229885057
base,3,0.8639846743295019
base,4,0.8802681992337165
base,5,0.896551724137931
base,6,0.921455938697318
base,7,0.9348659003831418
base,8,0.9482758620689655
base,9,0.9568965517241379
base,10,0.9655172413793104
