top_k,reagent_type,accuracy
1,exact_solvent,0.3524904214559387
2,exact_solvent,0.4329501915708812
3,exact_solvent,0.48084291187739464
4,exact_solvent,0.5095785440613027
5,exact_solvent,0.5325670498084292
6,exact_solvent,0.5555555555555556
7,exact_solvent,0.5708812260536399
8,exact_solvent,0.5871647509578544
9,exact_solvent,0.5967432950191571
10,exact_solvent,0.6120689655172413
1,exact_base,0.5593869731800766
2,exact_base,0.6791187739463601
3,exact_base,0.7452107279693486
4,exact_base,0.7854406130268199
5,exact_base,0.8170498084291188
6,exact_base,0.8362068965517241
7,exact_base,0.8524904214559387
8,exact_base,0.8620689655172413
9,exact_base,0.8706896551724138
10,exact_base,0.8802681992337165
1,overall,0.3113026819923372
2,overall,0.3773946360153257
3,overall,0.41475095785440613
4,overall,0.43199233716475094
5,overall,0.4434865900383142
6,overall,0.4559386973180077
7,overall,0.46264367816091956
8,overall,0.46839080459770116
9,overall,0.4789272030651341
10,overall,0.48946360153256707
