top_k,reagent_type,accuracy
1,exact_solvent,0.3706896551724138
2,exact_solvent,0.460727969348659
3,exact_solvent,0.4942528735632184
4,exact_solvent,0.5210727969348659
5,exact_solvent,0.5517241379310345
6,exact_solvent,0.5747126436781609
7,exact_solvent,0.5957854406130269
8,exact_solvent,0.6168582375478927
9,exact_solvent,0.6283524904214559
10,exact_solvent,0.6388888888888888
1,exact_base,0.5565134099616859
2,exact_base,0.6925287356321839
3,exact_base,0.7796934865900383
4,exact_base,0.8295019157088123
5,exact_base,0.8726053639846744
6,exact_base,0.8888888888888888
7,exact_base,0.8936781609195402
8,exact_base,0.8936781609195402
9,exact_base,0.8946360153256705
10,exact_base,0.8946360153256705
