reagent_type,top_k,accuracy
overall,1,0.05752636625119847
overall,2,0.10834132310642378
overall,3,0.15436241610738255
overall,4,0.19271332694151486
overall,5,0.2109300095877277
overall,6,0.23585810162991372
overall,7,0.2598274209012464
overall,8,0.2799616490891659
overall,9,0.29913710450623204
overall,10,0.31064237775647174
exact_solvent,1,0.09491850431447747
exact_solvent,2,0.2253116011505273
exact_solvent,3,0.2253116011505273
exact_solvent,4,0.28763183125599234
exact_solvent,5,0.28763183125599234
exact_solvent,6,0.3231064237775647
exact_solvent,7,0.3796740172579099
exact_solvent,8,0.3796740172579099
exact_solvent,9,0.4467881112176414
exact_solvent,10,0.4467881112176414
exact_base,1,0.411313518696069
exact_base,2,0.5407478427612655
exact_base,3,0.7583892617449665
exact_base,4,0.7583892617449665
exact_base,5,0.7583892617449665
exact_base,6,0.7583892617449665
exact_base,7,0.7583892617449665
exact_base,8,0.7583892617449665
exact_base,9,0.7583892617449665
exact_base,10,0.7861936720997124
