top_k,reagent_type,accuracy
1,fine_solvent,0.5028735632183908
2,fine_solvent,0.6733716475095786
3,fine_solvent,0.7538314176245211
4,fine_solvent,0.8160919540229885
5,fine_solvent,0.8706896551724138
6,fine_solvent,0.9022988505747126
7,fine_solvent,0.9195402298850575
8,fine_solvent,0.9329501915708812
9,fine_solvent,0.9377394636015326
10,fine_solvent,0.9386973180076629
1,base,0.7729885057471264
2,base,0.8936781609195402
3,base,0.9319923371647509
4,base,0.9540229885057471
5,base,0.9559386973180076
6,base,0.9578544061302682
7,base,0.9578544061302682
8,base,0.9578544061302682
9,base,0.9578544061302682
10,base,0.9578544061302682
