top_k,reagent_type,accuracy
1,fine_solvent,0.4674329501915709
2,fine_solvent,0.632183908045977
3,fine_solvent,0.7289272030651341
4,fine_solvent,0.774904214559387
5,fine_solvent,0.8247126436781609
6,fine_solvent,0.8639846743295019
7,fine_solvent,0.8869731800766284
8,fine_solvent,0.9061302681992337
9,fine_solvent,0.9224137931034483
10,fine_solvent,0.9396551724137931
1,base,0.7806513409961686
2,base,0.8908045977011494
3,base,0.9204980842911877
4,base,0.935823754789272
5,base,0.9434865900383141
6,base,0.9492337164750958
7,base,0.9530651340996169
8,base,0.9549808429118773
9,base,0.9578544061302682
10,base,0.960727969348659
1,overall,0.4118773946360153
2,overall,0.5498084291187739
3,overall,0.6226053639846744
4,overall,0.6599616858237548
5,overall,0.710727969348659
6,overall,0.7509578544061303
7,overall,0.774904214559387
8,overall,0.8026819923371648
9,overall,0.8237547892720306
10,overall,0.8448275862068966
