reagent_type,top_k,accuracy
fine_solvent,1,0.38984674329501917
fine_solvent,2,0.6360153256704981
fine_solvent,3,0.7701149425287356
fine_solvent,4,0.8084291187739464
fine_solvent,5,0.8457854406130269
fine_solvent,6,0.8773946360153256
fine_solvent,7,0.9090038314176245
fine_solvent,8,0.935823754789272
fine_solvent,9,0.9530651340996169
fine_solvent,10,0.9693486590038314
fine_solvent,11,0.9837164750957854
fine_solvent,12,0.9952107279693486
fine_solvent,13,1.0
base,1,0.8151340996168582
base,2,0.8879310344827587
base,3,0.9482758620689655
base,4,0.9789272030651341
base,5,0.9865900383141762
base,6,0.9971264367816092
base,7,1.0
