reagent_type,top_k,accuracy
overall,1,0.29050814956855225
overall,2,0.5129434324065196
overall,3,0.6241610738255033
overall,4,0.660594439117929
overall,5,0.6931927133269415
overall,6,0.7238734419942474
overall,7,0.7555129434324065
overall,8,0.7813998082454459
overall,9,0.8034515819750719
overall,10,0.8274209012464045
fine_solvent,1,0.38926174496644295
fine_solvent,2,0.6356663470757431
fine_solvent,3,0.7698945349952061
fine_solvent,4,0.8082454458293384
fine_solvent,5,0.8446788111217641
fine_solvent,6,0.8446788111217641
fine_solvent,7,0.8446788111217641
fine_solvent,8,0.8772770853307766
fine_solvent,9,0.9089165867689357
fine_solvent,10,0.9089165867689357
base,1,0.8092042186001918
base,2,0.8092042186001918
base,3,0.8092042186001918
base,4,0.8092042186001918
base,5,0.8092042186001918
base,6,0.8849472674976031
base,7,0.9405560882070949
base,8,0.9405560882070949
base,9,0.9405560882070949
base,10,0.9769894534995206
