reagent_type,top_k,accuracy
overall,1,0.43582375478927204
overall,2,0.5967432950191571
overall,3,0.6810344827586207
overall,4,0.7480842911877394
overall,5,0.7816091954022989
overall,6,0.803639846743295
overall,7,0.8218390804597702
overall,8,0.8390804597701149
overall,9,0.8553639846743295
overall,10,0.8649425287356322
fine_solvent,1,0.5076628352490421
fine_solvent,2,0.6848659003831418
fine_solvent,3,0.7825670498084292
fine_solvent,4,0.8477011494252874
fine_solvent,5,0.8754789272030651
fine_solvent,6,0.8908045977011494
fine_solvent,7,0.907088122605364
fine_solvent,8,0.9157088122605364
fine_solvent,9,0.9281609195402298
fine_solvent,10,0.9339080459770115
base,1,0.8342911877394636
base,2,0.8544061302681992
base,3,0.8716475095785441
base,4,0.8869731800766284
base,5,0.8994252873563219
base,6,0.9099616858237548
base,7,0.9252873563218391
base,8,0.9339080459770115
base,9,0.9434865900383141
base,10,0.9511494252873564
