reagent_type,top_k,accuracy
fine_solvent,1,0.4822627007961273
fine_solvent,2,0.6759347915649414
fine_solvent,3,0.7813997864723206
fine_solvent,4,0.8485139012336731
fine_solvent,5,0.8801534175872803
fine_solvent,6,0.9031639695167542
fine_solvent,7,0.9185042977333069
fine_solvent,8,0.9405561089515686
fine_solvent,9,0.9587727785110474
fine_solvent,10,0.972195565700531
fine_solvent,11,0.9808245301246643
fine_solvent,12,0.9913710355758667
fine_solvent,13,1.0
base,1,0.8398849368095398
base,2,0.923298180103302
base,3,0.9664429426193237
base,4,0.9837008714675903
base,5,0.9894534945487976
base,6,0.9980824589729309
base,7,1.0
