reagent_type,top_k,accuracy
fine_solvent,1,0.5
fine_solvent,2,0.6724137931034483
fine_solvent,3,0.8103448275862069
fine_solvent,4,0.8591954022988506
fine_solvent,5,0.8793103448275862
fine_solvent,6,0.9013409961685823
fine_solvent,7,0.921455938697318
fine_solvent,8,0.9406130268199234
fine_solvent,9,0.9521072796934866
fine_solvent,10,0.9616858237547893
base,1,0.8477011494252874
base,2,0.8649425287356322
base,3,0.8726053639846744
base,4,0.882183908045977
base,5,0.8898467432950191
base,6,0.8994252873563219
base,7,0.9022988505747126
base,8,0.9099616858237548
base,9,0.9185823754789272
base,10,0.9272030651340997
overall,1,0.42337164750957856
overall,2,0.5852490421455939
overall,3,0.7068965517241379
overall,4,0.7576628352490421
overall,5,0.7796934865900383
overall,6,0.8017241379310345
overall,7,0.8208812260536399
overall,8,0.8448275862068966
overall,9,0.8601532567049809
overall,10,0.8764367816091954
