reagent_type,top_k,accuracy
fine_solvent,1,0.49712643678160917
fine_solvent,2,0.7030651340996169
fine_solvent,3,0.8275862068965517
fine_solvent,4,0.8601532567049809
fine_solvent,5,0.8908045977011494
fine_solvent,6,0.9204980842911877
fine_solvent,7,0.9406130268199234
fine_solvent,8,0.9511494252873564
fine_solvent,9,0.9655172413793104
fine_solvent,10,0.9703065134099617
fine_solvent,11,0.9818007662835249
fine_solvent,12,0.9913793103448276
fine_solvent,13,1.0
base,1,0.8438697318007663
base,2,0.9415708812260536
base,3,0.9779693486590039
base,4,0.9875478927203065
base,5,0.9952107279693486
base,6,0.9980842911877394
base,7,1.0
