reagent_type,top_k,accuracy
overall,1,0.4904214559386973
overall,2,0.6417624521072797
overall,3,0.7279693486590039
overall,4,0.7729885057471264
overall,5,0.8026819923371648
overall,6,0.828544061302682
overall,7,0.8467432950191571
overall,8,0.8601532567049809
overall,9,0.8735632183908046
overall,10,0.8831417624521073
fine_solvent,1,0.5488505747126436
fine_solvent,2,0.7126436781609196
fine_solvent,3,0.8093869731800766
fine_solvent,4,0.853448275862069
fine_solvent,5,0.8793103448275862
fine_solvent,6,0.9051724137931034
fine_solvent,7,0.9224137931034483
fine_solvent,8,0.9367816091954023
fine_solvent,9,0.9473180076628352
fine_solvent,10,0.9578544061302682
base,1,0.853448275862069
base,2,0.8764367816091954
base,3,0.896551724137931
base,4,0.9137931034482759
base,5,0.9224137931034483
base,6,0.9281609195402298
base,7,0.9310344827586207
base,8,0.935823754789272
base,9,0.9415708812260536
base,10,0.9434865900383141
