reagent_type,top_k,accuracy
fine_solvent,1,0.4885057471264368
fine_solvent,2,0.6752873563218391
fine_solvent,3,0.8093869731800766
fine_solvent,4,0.8687739463601533
fine_solvent,5,0.8908045977011494
fine_solvent,6,0.907088122605364
fine_solvent,7,0.9291187739463601
fine_solvent,8,0.9454022988505747
fine_solvent,9,0.9636015325670498
fine_solvent,10,0.9818007662835249
fine_solvent,11,0.9865900383141762
fine_solvent,12,0.9932950191570882
fine_solvent,13,1.0
base,1,0.8477011494252874
base,2,0.9348659003831418
base,3,0.9722222222222222
base,4,0.9837164750957854
base,5,0.9904214559386973
base,6,0.9942528735632183
base,7,1.0
