reagent_type,top_k,accuracy
fine_solvent,1,0.5
fine_solvent,2,0.6791187739463601
fine_solvent,3,0.8007662835249042
fine_solvent,4,0.8419540229885057
fine_solvent,5,0.8706896551724138
fine_solvent,6,0.8898467432950191
fine_solvent,7,0.9109195402298851
fine_solvent,8,0.9243295019157088
fine_solvent,9,0.9396551724137931
fine_solvent,10,0.9473180076628352
base,1,0.8582375478927203
base,2,0.8668582375478927
base,3,0.8716475095785441
base,4,0.9042145593869731
base,5,0.9185823754789272
base,6,0.9272030651340997
base,7,0.9319923371647509
base,8,0.9396551724137931
base,9,0.9425287356321839
base,10,0.9454022988505747
overall,1,0.43486590038314177
overall,2,0.6053639846743295
overall,3,0.7030651340996169
overall,4,0.7567049808429118
overall,5,0.7902298850574713
overall,6,0.8160919540229885
overall,7,0.8323754789272031
overall,8,0.8505747126436781
overall,9,0.8639846743295019
overall,10,0.8716475095785441
