reagent_type,top_k,accuracy
overall,1,0.40325670498084293
overall,2,0.5344827586206896
overall,3,0.6436781609195402
overall,4,0.6954022988505747
overall,5,0.7365900383141762
overall,6,0.7691570881226054
overall,7,0.7873563218390804
overall,8,0.7998084291187739
overall,9,0.8199233716475096
overall,10,0.8400383141762452
fine_solvent,1,0.4818007662835249
fine_solvent,2,0.6293103448275862
fine_solvent,3,0.7519157088122606
fine_solvent,4,0.7969348659003831
fine_solvent,5,0.8314176245210728
fine_solvent,6,0.8544061302681992
fine_solvent,7,0.8687739463601533
fine_solvent,8,0.8812260536398467
fine_solvent,9,0.8984674329501916
fine_solvent,10,0.9109195402298851
base,1,0.8256704980842912
base,2,0.8448275862068966
base,3,0.85727969348659
base,4,0.882183908045977
base,5,0.8994252873563219
base,6,0.9166666666666666
base,7,0.9319923371647509
base,8,0.9377394636015326
base,9,0.9434865900383141
base,10,0.9501915708812261
