NM_RxnSmiles,coarse_solvent,base,temperature,Yield,parsed_rxn,parsed_reagents,rxn_id,fine_solvent,dataset,exact_solvent,exact_base
OB(O)c1ccccc1.C[Si](C)(C)CCOCn1c(I)cc2c(Cl)ccnc21>>C[Si](C)(C)CCOCn1c(-c2ccccc2)cc2c(Cl)ccnc21,ethers,carbonate,20,63.2,[CH3:10][Si:11]([CH3:12])([CH3:13])[CH2:14][CH2:15][O:16][CH2:17][n:18]1[c:19]([cH:21][c:22]2[c:23]([Cl:24])[cH:25][cH:26][n:27][c:28]12)[I:20].[cH:5]1[cH:6][cH:7][cH:8][cH:9][c:4]1[B:2]([OH:1])[OH:3]>>[CH3:10][Si:11]([CH3:12])([CH3:13])[CH2:14][CH2:15][O:16][CH2:17][n:18]1[c:19](-[c:4]2[cH:9][cH:8][cH:7][cH:6][cH:5]2)[cH:21][c:22]2[c:23]([cH:25][cH:26][n:27][c:28]12)[Cl:24],"",2787,ethers,train,C1COCCO1,O=C([O-])[O-].[K+].[K+]
CC(=O)c1ccc(B(O)O)s1.Cc1c(Br)cccc1C(=O)O>>CC(=O)c1ccc(-c2cccc(C(=O)O)c2C)s1,other,carbonate,20,46.6,[CH3:12][c:13]1[c:14]([cH:16][cH:17][cH:18][c:19]1[C:20](=[O:21])[OH:22])[Br:15].[OH:9][B:8]([OH:10])[c:7]1[s:11][c:4]([C:2]([CH3:1])=[O:3])[cH:5][cH:6]1>>[CH3:12][c:13]1[c:19]([cH:18][cH:17][cH:16][c:14]1-[c:7]1[cH:6][cH:5][c:4]([C:2](=[O:3])[CH3:1])[s:11]1)[C:20](=[O:21])[OH:22],"",4021,other,train,O.CCOC(C)=O.C1COCCO1,O=C([O-])[O-].[K+].[K+]
OB(O)c1cccnc1.COC(=O)Cc1cc(C)c(Br)cc1Cl>>COC(=O)Cc1cc(C)c(-c2cccnc2)cc1Cl,other,carbonate,20,76.1,[CH2:14]([C:12](=[O:13])[O:11][CH3:10])[c:15]1[cH:16][c:17]([c:19]([cH:21][c:22]1[Cl:23])[Br:20])[CH3:18].[OH:1][B:2]([OH:3])[c:4]1[cH:5][cH:6][cH:7][n:8][cH:9]1>>[c:17]1([cH:16][c:15]([CH2:14][C:12](=[O:13])[O:11][CH3:10])[c:22]([cH:21][c:19]1-[c:4]1[cH:5][cH:6][cH:7][n:8][cH:9]1)[Cl:23])[CH3:18],"",4594,other,train,Cc1ccccc1.O.C1CCOC1,O=C([O-])[O-].[K+].[K+]
Cc1cccc(B(O)O)n1.CC(NC(=O)c1cnc2cncc(Br)c2n1)C(C)(C)O>>Cc1cccc(-c2cncc3ncc(C(=O)NC(C)C(C)(C)O)nc23)n1,water/ethers,carbonate,20,12.1,[CH3:28][C:27]([CH3:29])([CH:12]([CH3:11])[NH:13][C:14]([c:16]1[cH:17][n:18][c:19]2[c:25]([c:23]([Br:24])[cH:22][n:21][cH:20]2)[n:26]1)=[O:15])[OH:30].[OH:8][B:7]([OH:9])[c:6]1[n:10][c:2]([cH:3][cH:4][cH:5]1)[CH3:1]>>[CH3:28][C:27]([CH3:29])([CH:12]([NH:13][C:14](=[O:15])[c:16]1[n:26][c:25]2[c:23](-[c:6]3[n:10][c:2]([cH:3][cH:4][cH:5]3)[CH3:1])[cH:22][n:21][cH:20][c:19]2[n:18][cH:17]1)[CH3:11])[OH:30],"",5391,water/ethers,train,O.C1COCCO1,O=C([O-])[O-].[Cs+].[Cs+]
OB(O)c1cccnc1.O=C(c1ccccc1)n1c(=O)c(I)cn(CCCCl)c1=O>>O=C(c1ccccc1)n1c(=O)c(-c2cccnc2)cn(CCCCl)c1=O,water/ethers,carbonate,20,20.15,[OH:1][B:2]([OH:3])[c:4]1[cH:5][cH:6][cH:7][n:8][cH:9]1.[cH:13]1[cH:14][cH:15][cH:16][cH:17][c:12]1[C:11]([n:18]1[c:29]([n:24]([CH2:25][CH2:26][CH2:27][Cl:28])[cH:23][c:21]([I:22])[c:19]1=[O:20])=[O:30])=[O:10]>>[cH:14]1[cH:13][c:12]([cH:17][cH:16][cH:15]1)[C:11](=[O:10])[n:18]1[c:19]([c:21]([cH:23][n:24]([c:29]1=[O:30])[CH2:25][CH2:26][CH2:27][Cl:28])-[c:4]1[cH:9][n:8][cH:7][cH:6][cH:5]1)=[O:20],"",1046,water/ethers,train,O.COCCOC,O=C([O-])[O-].[Na+].[Na+]
OB(O)c1cccc(Cl)c1.Nc1ccc(S(=O)(=O)c2cc(Br)nc(N3CCCC3)c2)cc1>>Nc1ccc(S(=O)(=O)c2cc(-c3cccc(Cl)c3)nc(N3CCCC3)c2)cc1,aromatics,carbonate,20,22.35,[OH:1][B:2]([OH:3])[c:4]1[cH:5][cH:6][cH:7][c:8]([Cl:9])[cH:10]1.[cH:13]1[cH:14][c:15]([cH:31][cH:32][c:12]1[NH2:11])[S:16](=[O:17])(=[O:18])[c:19]1[cH:20][c:21]([Br:22])[n:23][c:24]([cH:30]1)[N:25]1[CH2:26][CH2:27][CH2:28][CH2:29]1>>[cH:14]1[cH:13][c:12]([cH:32][cH:31][c:15]1[S:16](=[O:17])(=[O:18])[c:19]1[cH:20][c:21]([n:23][c:24]([cH:30]1)[N:25]1[CH2:26][CH2:27][CH2:28][CH2:29]1)-[c:4]1[cH:10][c:8]([Cl:9])[cH:7][cH:6][cH:5]1)[NH2:11],"",62,aromatics,train,Cc1ccccc1,O=C([O-])[O-].[K+].[K+]
N#Cc1cccc(B(O)O)c1.Nc1ncc(Br)cc1C=O>>N#Cc1cccc(-c2cnc(N)c(C=O)c2)c1,polar,carbonate,20,41.2,[Br:17][c:16]1[cH:18][c:19]([c:13]([NH2:12])[n:14][cH:15]1)[CH:20]=[O:21].[OH:9][B:8]([OH:10])[c:7]1[cH:11][c:3]([cH:4][cH:5][cH:6]1)[C:2]#[N:1]>>[cH:4]1[cH:5][cH:6][c:7]([cH:11][c:3]1[C:2]#[N:1])-[c:16]1[cH:15][n:14][c:13]([NH2:12])[c:19]([CH:20]=[O:21])[cH:18]1,"",546,water/lowbp,train,O.CC#N,O=C([O-])[O-].[K+].[K+]
OB(O)c1ccncc1.CON=C1CCc2cc(-c3sc(C(=O)N(C)C4CCN(C)CC4)cc3Br)ccc21>>CON=C1CCc2cc(-c3sc(C(=O)N(C)C4CCN(C)CC4)cc3-c3ccncc3)ccc21,water/ethers,carbonate,20,71.8,[CH2:27]1[CH2:28][N:29]([CH2:31][CH2:32][CH:26]1[N:24]([CH3:25])[C:22]([c:21]1[s:20][c:19](-[c:18]2[cH:36][cH:37][c:38]3[c:16]([CH2:15][CH2:14][C:13]3=[N:12][O:11][CH3:10])[cH:17]2)[c:34]([Br:35])[cH:33]1)=[O:23])[CH3:30].[cH:6]1[cH:5][c:4]([cH:9][cH:8][n:7]1)[B:2]([OH:1])[OH:3]>>[cH:6]1[cH:5][c:4]([cH:9][cH:8][n:7]1)-[c:34]1[c:19](-[c:18]2[cH:17][c:16]3[CH2:15][CH2:14][C:13]([c:38]3[cH:37][cH:36]2)=[N:12][O:11][CH3:10])[s:20][c:21]([C:22](=[O:23])[N:24]([CH:26]2[CH2:32][CH2:31][N:29]([CH2:28][CH2:27]2)[CH3:30])[CH3:25])[cH:33]1,"",529,water/ethers,train,O.COCCOC,O=C([O-])[O-].[K+].[K+]
OB(O)c1ccsc1.O=[N+]([O-])c1ccc2nc(Br)sc2c1>>O=[N+]([O-])c1ccc2nc(-c3ccsc3)sc2c1,other,other,20,14.95,[OH:1][B:2]([OH:3])[c:4]1[cH:8][s:7][cH:6][cH:5]1.[cH:13]1[c:12]([N+:10]([O-:11])=[O:9])[cH:21][c:20]2[c:15]([n:16][c:17]([s:19]2)[Br:18])[cH:14]1>>[cH:13]1[c:12]([N+:10]([O-:11])=[O:9])[cH:21][c:20]2[c:15]([n:16][c:17]([s:19]2)-[c:4]2[cH:8][s:7][cH:6][cH:5]2)[cH:14]1,"",4130,other,train,CCO.Cc1ccccc1.O.ClCCl,No Base
CS(=O)(=O)Nc1cccc(B(O)O)c1.Cn1cc(Br)ccc1=O>>Cn1cc(-c2cccc(NS(C)(=O)=O)c2)ccc1=O,water/ethers,acetate,20,20.15,[O:3]=[S:2](=[O:4])([CH3:1])[NH:5][c:6]1[cH:7][cH:8][cH:9][c:10]([B:11]([OH:12])[OH:13])[cH:14]1.[c:18]1([Br:19])[cH:20][cH:21][c:22]([n:16]([CH3:15])[cH:17]1)=[O:23]>>[O:3]=[S:2](=[O:4])([CH3:1])[NH:5][c:6]1[cH:14][c:10](-[c:18]2[cH:17][n:16]([c:22]([cH:21][cH:20]2)=[O:23])[CH3:15])[cH:9][cH:8][cH:7]1,"",2935,water/ethers,train,O.C1COCCO1,CC(=O)[O-].[K+]
